,dnu,nmax,epsilon,k,A,w,phi,tau
0,4.489735463951148,9.80251084117411,0.05242205972597648,0.029149862461730843,1.8312331503269836,1.7970232109909714,2.056828600936287,2.4058826694455178
1,4.490088595508849,10.020829133599756,0.043744251729088544,0.029679597428803793,1.227478470414514,2.129785998116054,-0.23449511335241668,2.4945674305406995
2,4.492927663682268,9.943119256241022,0.03852721558802925,0.02927607811325271,2.2864529367047512,2.2041609785894054,-1.1542087040054967,2.227762380415783
3,4.492639844329823,9.88004144602599,0.04115008433542179,0.029728860573334192,1.5836519619718579,2.2400798713880756,-1.3372680465767652,2.5633847715108615
4,4.4831753582897935,9.638663329479103,0.06063626485045065,0.029774537019067935,1.2579662449658067,2.2881298002822223,-1.9302709998507275,2.7507131303880628
5,4.496317760540469,9.927890047612545,0.030219645410214834,0.029738734781429695,1.7971361178189142,2.126264454504513,-0.284949490236853,2.249021002539327
6,4.49071179978231,9.848700002159099,0.04601048798084176,0.029402542757404674,1.4634108802890753,2.018737529791817,-0.0048140318282801076,2.4935640787210067
7,4.494133160397704,10.174929043308317,0.029959140218435595,0.029905390428463064,1.4470494406851862,2.277943062227902,-1.4458659958822244,2.2726398757511506
8,4.48584576256604,9.869802817907754,0.058283343535677684,0.029395648833125985,1.0979804073511248,1.964599470297571,0.7511149585895636,2.8713772859916413
9,4.490621992536417,9.87468628672439,0.046597067335549594,0.03009608535635243,1.3242431751828836,2.3110968445177473,-2.1015203863142253,2.8528870061873315
10,4.49505968004595,9.899417132288523,0.03756272385940526,0.030159570068984166,2.5918290280963547,1.787536317903538,2.0504697211052516,2.381348682563803
11,4.492473950183049,9.790595466708059,0.04329941734694567,0.02955939450633719,1.9648002315218982,2.4221942438224313,-2.9910511777328197,2.262806621373966
12,4.499203775643962,9.910361765577719,0.026034251761734326,0.03131269544944025,1.2213070523609622,2.4261710191279526,-2.2558354771790983,2.1807880511218034
13,4.499440191265864,10.136205265135967,0.023571959528615107,0.029844947270490932,1.9199086134293728,2.128718131155228,-0.1885278910080479,2.424779287069288
14,4.502022710349094,10.15435501719781,0.01842641864070634,0.029866465024187137,2.0394018219461585,1.979177288481625,0.8078704588837313,2.403174442248284
15,4.4856576681607745,9.843972969528263,0.057744443068723415,0.030299634075314243,1.4474367363085463,2.194788125069973,-1.084327497722605,2.729043687299424
16,4.484618724096192,9.975248005653803,0.0572478000775037,0.03017121379916829,1.2888014981771776,1.9006119875671987,1.5518795599912405,2.9186357271785828
17,4.491056063839863,10.094535126865463,0.041499742929199106,0.02973937949865817,1.4627270705229785,2.19740286034418,-1.0652912927790261,2.7323628401184936
18,4.494429662498638,9.986894967911251,0.03944815563296427,0.030401047303691964,1.5345626523603326,1.8782507778674031,1.5379232729857577,2.725960296888725
19,4.4814072128867135,9.810731223918909,0.06416897731448268,0.029742710719060827,1.1545112160391418,2.1587166493000307,-0.48976266422410397,2.5323878926771495
20,4.490936043429047,9.875010857741328,0.04338669205977159,0.0294793351452064,1.8342716269910353,2.070255156242695,-0.1782830814688423,2.0675984836377843
21,4.495985123411667,10.022006102200875,0.033804336852989746,0.029677620959095357,1.0357178500405873,2.09487961295369,-0.09203229262447543,2.865774491483162
22,4.486347398800367,9.981990940866652,0.05803634211927957,0.029965570187142895,1.9454524418257357,1.849751557204733,1.8630332196874448,2.4640056885720347
